epoch,epoch_loss,split,loss,acc,sample_fn
44,0.66303164,val,1.0108962,0.5853658536585366,gumbel_soft
44,0.66303164,test,0.78882205,0.7027027027027027,gumbel_soft
45,0.5715346,train,0.64392596,0.7207792207792207,gumbel_soft
45,0.5715346,val,0.78842235,0.6585365853658537,gumbel_soft
45,0.5715346,test,0.87748605,0.6486486486486487,gumbel_soft
46,0.6687518,train,0.61231107,0.7337662337662337,gumbel_soft
46,0.6687518,val,1.0162743,0.6097560975609756,gumbel_soft
46,0.6687518,test,0.63475597,0.6216216216216216,gumbel_soft
47,0.55716133,train,0.6442769,0.6915584415584416,gumbel_soft
47,0.55716133,val,0.8891302,0.6585365853658537,gumbel_soft
47,0.55716133,test,0.78002626,0.6216216216216216,gumbel_soft
48,0.62963665,train,0.6305308,0.7305194805194806,gumbel_soft
48,0.62963665,val,1.0708972,0.6097560975609756,gumbel_soft
48,0.62963665,test,0.8960352,0.5945945945945946,gumbel_soft
49,0.6688231,train,0.5730516,0.7694805194805194,gumbel_soft
49,0.6688231,val,0.72828555,0.7560975609756098,gumbel_soft
49,0.6688231,test,0.8821424,0.5945945945945946,gumbel_soft
50,0.53546,train,0.5130837,0.7857142857142857,gumbel_soft
50,0.53546,val,0.7304714,0.7073170731707317,gumbel_soft
50,0.53546,test,0.6502036,0.7297297297297297,gumbel_soft
51,0.57087874,train,0.53018236,0.7467532467532467,gumbel_soft
51,0.57087874,val,0.76424724,0.7073170731707317,gumbel_soft
51,0.57087874,test,0.8262804,0.6216216216216216,gumbel_soft
52,0.7101021,train,0.5629574,0.7727272727272727,gumbel_soft
52,0.7101021,val,0.8715708,0.6585365853658537,gumbel_soft
52,0.7101021,test,0.7384244,0.6756756756756757,gumbel_soft
53,0.62520677,train,0.6180697,0.7694805194805194,gumbel_soft
53,0.62520677,val,0.715688,0.7317073170731707,gumbel_soft
53,0.62520677,test,0.7020485,0.7027027027027027,gumbel_soft
54,0.5936575,train,0.47093186,0.788961038961039,gumbel_soft
54,0.5936575,val,0.9146438,0.6341463414634146,gumbel_soft
54,0.5936575,test,0.7823541,0.7027027027027027,gumbel_soft
55,0.6308225,train,0.5013608,0.7662337662337663,gumbel_soft
55,0.6308225,val,0.82017356,0.6341463414634146,gumbel_soft
55,0.6308225,test,0.776482,0.6216216216216216,gumbel_soft
56,0.48970363,train,0.5472225,0.75,gumbel_soft
56,0.48970363,val,0.92505616,0.5853658536585366,gumbel_soft
56,0.48970363,test,0.8084008,0.7567567567567568,gumbel_soft
57,0.5754991,train,0.46048304,0.7857142857142857,gumbel_soft
57,0.5754991,val,1.0081822,0.6585365853658537,gumbel_soft
57,0.5754991,test,0.84881175,0.4864864864864865,gumbel_soft
58,0.58897597,train,0.59611636,0.7142857142857143,gumbel_soft
58,0.58897597,val,0.7839183,0.6829268292682927,gumbel_soft
58,0.58897597,test,0.90234977,0.6216216216216216,gumbel_soft
59,0.62365437,train,0.5042877,0.7792207792207793,gumbel_soft
59,0.62365437,val,0.9352451,0.5609756097560976,gumbel_soft
59,0.62365437,test,0.99448454,0.5405405405405406,gumbel_soft
60,0.55985373,train,0.47740045,0.7727272727272727,gumbel_soft
