epoch,epoch_loss,split,loss,acc,sample_fn
0,2.7703753,train,0.8864032,0.8142912820707815,gumbel_soft
0,2.7703753,val,0.93961936,0.8081498354846874,gumbel_soft
0,2.7703753,test,0.90262234,0.8225867412502834,gumbel_soft
1,0.8616867,train,0.8031062,0.8152323735467741,gumbel_soft
1,0.8616867,val,0.87979114,0.8076436345229056,gumbel_soft
1,0.8616867,test,0.8446179,0.8200166301307733,gumbel_soft
2,0.7988686,train,0.76389366,0.8159453216346474,gumbel_soft
2,0.7988686,val,0.8647149,0.8098371720239602,gumbel_soft
2,0.7988686,test,0.83025545,0.8213772771940434,gumbel_soft
3,0.76978755,train,0.73354095,0.8158787798131125,gumbel_soft
3,0.76978755,val,0.8524487,0.8053657301948873,gumbel_soft
3,0.76978755,test,0.81459564,0.8205457706553784,gumbel_soft
4,0.74325186,train,0.71057874,0.8159643335836573,gumbel_soft
4,0.74325186,val,0.838464,0.806378132118451,gumbel_soft
4,0.74325186,test,0.8118505,0.8179000680323532,gumbel_soft
5,0.7244731,train,0.68444747,0.8169339429831649,gumbel_soft
5,0.7244731,val,0.83626413,0.8067999662532692,gumbel_soft
5,0.7244731,test,0.79439527,0.816615012472598,gumbel_soft
6,0.7035145,train,0.66308457,0.818084165898267,gumbel_soft
6,0.7035145,val,0.8297219,0.8058719311566692,gumbel_soft
6,0.7035145,test,0.8141294,0.8023282183082622,gumbel_soft
7,0.6805864,train,0.640627,0.8179320703061874,gumbel_soft
7,0.6805864,val,0.82221234,0.7973508816333418,gumbel_soft
7,0.6805864,test,0.7877099,0.8104165091843677,gumbel_soft
8,0.6499707,train,0.60794157,0.8246813122047206,gumbel_soft
8,0.6499707,val,0.82900834,0.8016535898084873,gumbel_soft
8,0.6499707,test,0.78518385,0.8128354372968478,gumbel_soft
9,0.6313349,train,0.5830582,0.8275331045562135,gumbel_soft
9,0.6313349,val,0.8178479,0.796591580190669,gumbel_soft
9,0.6313349,test,0.7919463,0.8098117771562476,gumbel_soft
10,0.5993849,train,0.5601676,0.8272289133720543,gumbel_soft
10,0.5993849,val,0.82169867,0.7922888720155234,gumbel_soft
10,0.5993849,test,0.788662,0.8042180058961372,gumbel_soft
11,0.5775483,train,0.54497856,0.8277042120973032,gumbel_soft
11,0.5775483,val,0.8507709,0.7985320172108327,gumbel_soft
11,0.5775483,test,0.797277,0.8070904830297074,gumbel_soft
12,0.55908906,train,0.52053034,0.8288449290379003,gumbel_soft
12,0.55908906,val,0.83060205,0.789842234033578,gumbel_soft
12,0.55908906,test,0.7979633,0.7988510091465719,gumbel_soft
13,0.54081637,train,0.50077754,0.8305560044487961,gumbel_soft
13,0.54081637,val,0.84621716,0.7808149835484688,gumbel_soft
13,0.54081637,test,0.8093978,0.7983974601254819,gumbel_soft
14,0.5289279,train,0.4940572,0.8297479966158731,gumbel_soft
14,0.5289279,val,0.85264194,0.7821648527798869,gumbel_soft
14,0.5289279,test,0.8193641,0.7940887444251267,gumbel_soft
15,0.5124225,train,0.48129168,0.8296909607688432,gumbel_soft
15,0.5124225,val,0.85222304,0.7811524508563233,gumbel_soft
15,0.5124225,test,0.82442474,0.7886461561720463,gumbel_soft
16,0.50614476,train,0.4717924,0.8320104185480575,gumbel_soft
16,0.50614476,val,0.8693666,0.7814899181641779,gumbel_soft
16,0.50614476,test,0.8339903,0.7906115352634364,gumbel_soft
17,0.49849162,train,0.45848957,0.8329800279475651,gumbel_soft
17,0.49849162,val,0.91102904,0.7598920104614866,gumbel_soft
17,0.49849162,test,0.85487884,0.7807090483029707,gumbel_soft
18,0.48930752,train,0.46443698,0.8311929047406295,gumbel_soft
18,0.48930752,val,0.8781742,0.7748249388340505,gumbel_soft
18,0.48930752,test,0.86362743,0.7853957215209011,gumbel_soft
19,0.4907992,train,0.46902773,0.8275045866326987,gumbel_soft
19,0.4907992,val,0.8891581,0.7697629292162321,gumbel_soft
19,0.4907992,test,0.85241735,0.7878146496333812,gumbel_soft
20,0.49038276,train,0.4591768,0.8307746418624106,gumbel_soft
20,0.49038276,val,0.8891336,0.7767653758542141,gumbel_soft
20,0.49038276,test,0.8655235,0.7826744273943609,gumbel_soft
21,0.48331055,train,0.45349577,0.8309457494035001,gumbel_soft
21,0.48331055,val,0.92035747,0.7748249388340505,gumbel_soft
21,0.48331055,test,0.8693632,0.7824476528838159,gumbel_soft
22,0.47845188,train,0.4539807,0.8292917098396342,gumbel_soft
22,0.47845188,val,0.9187127,0.7557580359402682,gumbel_soft
22,0.47845188,test,0.8848365,0.7711845188600801,gumbel_soft
23,0.48540702,train,0.4554912,0.8319533827010276,gumbel_soft
23,0.48540702,val,0.93710184,0.7699316628701595,gumbel_soft
23,0.48540702,test,0.8913552,0.7822208783732708,gumbel_soft
24,0.4801635,train,0.45185468,0.8311833987661245,gumbel_soft
24,0.4801635,val,0.94716936,0.7612418796929048,gumbel_soft
24,0.4801635,test,0.8927267,0.7760979665885555,gumbel_soft
25,0.48281536,train,0.44864026,0.8313640122817191,gumbel_soft
25,0.48281536,val,0.9451309,0.7557580359402682,gumbel_soft
25,0.48281536,test,0.9144226,0.7750396855393453,gumbel_soft
26,0.48854157,train,0.4650366,0.8269817580349249,gumbel_soft
26,0.48854157,val,0.9773968,0.754661267189741,gumbel_soft
26,0.48854157,test,0.93433714,0.7664978456421498,gumbel_soft
27,0.48983723,train,0.45983884,0.8283316064146315,gumbel_soft
27,0.48983723,val,0.9770006,0.7588796085379229,gumbel_soft
27,0.48983723,test,0.9270642,0.7780633456799456,gumbel_soft
28,0.49855873,train,0.46692267,0.8269817580349249,gumbel_soft
28,0.49855873,val,0.9719313,0.7531426643043955,gumbel_soft
28,0.49855873,test,0.94865197,0.7720916169022601,gumbel_soft
29,0.5002241,train,0.4723578,0.8275140926072037,gumbel_soft
29,0.5002241,val,1.0071054,0.7540706994009956,gumbel_soft
29,0.5002241,test,0.9502969,0.7726963489303802,gumbel_soft
