epoch,epoch_loss,split,loss,acc,sample_fn
0,1.4935014,train,1.2438202,0.5686733786444769,gumbel_soft
0,1.4935014,val,1.2354562,0.5749342058467886,gumbel_soft
0,1.4935014,test,1.2429019,0.5658904728117139,gumbel_soft
1,1.2011404,train,1.1735533,0.5719129136759195,gumbel_soft
1,1.2011404,val,1.167717,0.5769969414609858,gumbel_soft
1,1.2011404,test,1.1767399,0.5684706185899503,gumbel_soft
2,1.1601157,train,1.1377213,0.5787175252493172,gumbel_soft
2,1.1601157,val,1.1338325,0.5825449889750338,gumbel_soft
2,1.1601157,test,1.1360222,0.5768560923692189,gumbel_soft
3,1.1139863,train,1.0812464,0.5951613415486248,gumbel_soft
3,1.1139863,val,1.0745858,0.5947791450316523,gumbel_soft
3,1.1139863,test,1.0784448,0.5961426820615364,gumbel_soft
4,1.0609001,train,1.0236975,0.6122006606110653,gumbel_soft
4,1.0609001,val,1.0061268,0.6199587452877161,gumbel_soft
4,1.0609001,test,1.0300833,0.6111720312197639,gumbel_soft
5,0.9889822,train,0.95302784,0.639141205615194,gumbel_soft
5,0.9889822,val,0.9412216,0.6446404438438011,gumbel_soft
5,0.9889822,test,0.9649676,0.6354254015351868,gumbel_soft
6,0.92895526,train,0.9405401,0.6341786825890872,gumbel_soft
6,0.92895526,val,0.94059896,0.6379543353012306,gumbel_soft
6,0.92895526,test,0.94484997,0.6368444817132168,gumbel_soft
7,0.8858309,train,0.8491264,0.668122340087658,gumbel_soft
7,0.8858309,val,0.84378487,0.6680418237427982,gumbel_soft
7,0.8858309,test,0.86146885,0.6631619686512288,gumbel_soft
8,0.8386762,train,0.81352264,0.6736724258400559,gumbel_soft
8,0.8386762,val,0.79571563,0.6789245323280461,gumbel_soft
8,0.8386762,test,0.8095724,0.6752241501644843,gumbel_soft
9,0.78858477,train,0.734478,0.7022724385441148,gumbel_soft
9,0.78858477,val,0.746011,0.7009033359413899,gumbel_soft
9,0.78858477,test,0.732022,0.7007675933690254,gumbel_soft
10,0.72129476,train,0.6913624,0.7171282474750683,gumbel_soft
10,0.72129476,val,0.6804821,0.721957464969059,gumbel_soft
10,0.72129476,test,0.6910283,0.7194736502612398,gumbel_soft
11,0.67151266,train,0.6440613,0.7331274217112368,gumbel_soft
11,0.67151266,val,0.64031535,0.7347606515399389,gumbel_soft
11,0.67151266,test,0.66847473,0.7250209636844481,gumbel_soft
12,0.64696634,train,0.6416249,0.7287842215587881,gumbel_soft
12,0.64696634,val,0.6440262,0.7304217938686962,gumbel_soft
12,0.64696634,test,0.63929254,0.7268270657292137,gumbel_soft
13,0.61878735,train,0.5919056,0.7516515276630884,gumbel_soft
13,0.61878735,val,0.5996341,0.7487018991393414,gumbel_soft
13,0.61878735,test,0.5942172,0.7508869251112688,gumbel_soft
14,0.601176,train,0.57649934,0.756240868957632,gumbel_soft
14,0.601176,val,0.58675253,0.748986414396472,gumbel_soft
14,0.601176,test,0.57936555,0.7521769980003871,gumbel_soft
15,0.5795705,train,0.5715306,0.75520072413136,gumbel_soft
15,0.5795705,val,0.5917227,0.7483462550679281,gumbel_soft
15,0.5795705,test,0.57841843,0.7521124943559311,gumbel_soft
16,0.5774014,train,0.5651602,0.755478625420822,gumbel_soft
16,0.5774014,val,0.56569463,0.7561704246390213,gumbel_soft
16,0.5774014,test,0.5620526,0.7565632458233891,gumbel_soft
17,0.56201565,train,0.56239897,0.7601235469732579,gumbel_soft
17,0.56201565,val,0.592497,0.752827370367736,gumbel_soft
17,0.56201565,test,0.5652409,0.7599819389795524,gumbel_soft
18,0.55419457,train,0.5456758,0.7641729657625611,gumbel_soft
18,0.55419457,val,0.54859906,0.7627854043673092,gumbel_soft
18,0.55419457,test,0.5467938,0.7650132232471135,gumbel_soft
19,0.55013233,train,0.54408795,0.7673410404624278,gumbel_soft
19,0.55013233,val,0.5520317,0.7638523365815492,gumbel_soft
19,0.55013233,test,0.5573611,0.7625620847577889,gumbel_soft
20,0.5476736,train,0.5329227,0.7708425967096487,gumbel_soft
20,0.5476736,val,0.5327252,0.7725300519240345,gumbel_soft
20,0.5476736,test,0.5374713,0.7681739018254531,gumbel_soft
21,0.53784394,train,0.6178823,0.7359937750111161,gumbel_soft
21,0.53784394,val,0.62352186,0.7363254854541574,gumbel_soft
21,0.53784394,test,0.61979514,0.7381152035089983,gumbel_soft
22,0.56185424,train,0.5409299,0.766880518325605,gumbel_soft
22,0.56185424,val,0.5366733,0.7650615264243545,gumbel_soft
22,0.56185424,test,0.5352379,0.7684964200477327,gumbel_soft
23,0.54083186,train,0.53053725,0.7696039509623325,gumbel_soft
23,0.54083186,val,0.5342662,0.7668397467814212,gumbel_soft
23,0.54083186,test,0.5412169,0.766819325291879,gumbel_soft
24,0.5303289,train,0.53073007,0.7697627516991679,gumbel_soft
24,0.5303289,val,0.53179455,0.7668397467814212,gumbel_soft
24,0.5303289,test,0.53322774,0.7645616977359221,gumbel_soft
25,0.5459059,train,0.53436357,0.7706679158991298,gumbel_soft
25,0.5459059,val,0.5320408,0.7695426417241624,gumbel_soft
25,0.5459059,test,0.5293607,0.7673353544475263,gumbel_soft
26,0.54110783,train,0.53589106,0.766467636409833,gumbel_soft
26,0.54110783,val,0.53754807,0.7625008891101785,gumbel_soft
26,0.54110783,test,0.5392221,0.7684319164032768,gumbel_soft
27,0.5382165,train,0.53437084,0.766118274788795,gumbel_soft
27,0.5382165,val,0.5483606,0.7637812077672665,gumbel_soft
27,0.5382165,test,0.5388935,0.7615300264464943,gumbel_soft
28,0.537596,train,0.53643227,0.7661023947151114,gumbel_soft
28,0.537596,val,0.5263385,0.7706095739384025,gumbel_soft
28,0.537596,test,0.5332993,0.7655937560472167,gumbel_soft
29,0.553593,train,0.53398997,0.7671742996887505,gumbel_soft
29,0.553593,val,0.54253954,0.7634255636958532,gumbel_soft
29,0.553593,test,0.5291526,0.7670128362252467,gumbel_soft
30,0.546444,train,0.5410171,0.7656021723940799,gumbel_soft
30,0.546444,val,0.5529671,0.7614339568959385,gumbel_soft
30,0.546444,test,0.5416797,0.7640456685802748,gumbel_soft
31,0.5552444,train,0.5550982,0.7617830146731881,gumbel_soft
31,0.5552444,val,0.5633925,0.7578775161818052,gumbel_soft
31,0.5552444,test,0.5657626,0.7572082822679481,gumbel_soft
32,0.55434203,train,0.5417552,0.7649193292256876,gumbel_soft
32,0.55434203,val,0.55678827,0.7553168788676293,gumbel_soft
32,0.55434203,test,0.54660213,0.7645616977359221,gumbel_soft
33,0.55107117,train,0.5534807,0.7631328209362891,gumbel_soft
33,0.55107117,val,0.5508266,0.7645636247243759,gumbel_soft
33,0.55107117,test,0.5497261,0.7652712378249371,gumbel_soft
34,0.55059916,train,0.5587245,0.7611398716890047,gumbel_soft
34,0.55059916,val,0.56401145,0.7604381534959812,gumbel_soft
34,0.55059916,test,0.56330097,0.7575308004902277,gumbel_soft
35,0.5556926,train,0.550037,0.7629263799784031,gumbel_soft
35,0.5556926,val,0.5647129,0.7556725229390426,gumbel_soft
35,0.5556926,test,0.5625299,0.7574017932013158,gumbel_soft
36,0.5535329,train,0.55555344,0.7617274344152957,gumbel_soft
36,0.5535329,val,0.55949295,0.7625008891101785,gumbel_soft
36,0.5535329,test,0.566666,0.7583693478681546,gumbel_soft
37,0.5613518,train,0.56871223,0.7584402591628026,gumbel_soft
37,0.5613518,val,0.5749746,0.7533964008819973,gumbel_soft
37,0.5613518,test,0.5656968,0.7571437786234922,gumbel_soft
38,0.5631004,train,0.56851155,0.7544305405577082,gumbel_soft
38,0.5631004,val,0.55971324,0.7548901059819333,gumbel_soft
38,0.5631004,test,0.57471246,0.7533380636005934,gumbel_soft
39,0.5679999,train,0.5617609,0.7566934510576129,gumbel_soft
39,0.5679999,val,0.57730347,0.7479906109965146,gumbel_soft
39,0.5679999,test,0.5648348,0.750048377733342,gumbel_soft
40,0.5680533,train,0.5640824,0.7571460331575939,gumbel_soft
40,0.5680533,val,0.5639409,0.7546767195390853,gumbel_soft
40,0.5680533,test,0.56028247,0.7548861510675353,gumbel_soft
41,0.5928446,train,0.59696746,0.7474988883948421,gumbel_soft
41,0.5928446,val,0.60233194,0.746212390639448,gumbel_soft
41,0.5928446,test,0.57058984,0.7528220344449461,gumbel_soft
42,0.6021747,train,0.5892462,0.7492774566473989,gumbel_soft
42,0.6021747,val,0.59004474,0.7433672380681414,gumbel_soft
42,0.6021747,test,0.584959,0.7446945752435012,gumbel_soft
43,0.58045655,train,0.58364516,0.7501508606999936,gumbel_soft
43,0.58045655,val,0.57841015,0.7522583398534747,gumbel_soft
43,0.58045655,test,0.567447,0.7502418886667097,gumbel_soft
44,0.6013823,train,0.5921435,0.7473956679158992,gumbel_soft
44,0.6013823,val,0.5801218,0.7467814211537094,gumbel_soft
44,0.6013823,test,0.621937,0.7410823711539702,gumbel_soft
45,0.59996843,train,0.5969512,0.743830591373944,gumbel_soft
45,0.59996843,val,0.6479188,0.7329824311828722,gumbel_soft
45,0.59996843,test,0.6013106,0.73824421079791,gumbel_soft
46,0.6235899,train,0.60609007,0.7447278155370641,gumbel_soft
46,0.6235899,val,0.6038983,0.7447898143537948,gumbel_soft
46,0.6235899,test,0.6219824,0.7372121524866155,gumbel_soft
47,0.6042964,train,0.60929495,0.7392730102267675,gumbel_soft
47,0.6042964,val,0.6439244,0.7312042108258056,gumbel_soft
47,0.6042964,test,0.61060023,0.7392117654647488,gumbel_soft
48,0.6083665,train,0.6084593,0.7397811725846408,gumbel_soft
48,0.6083665,val,0.5848314,0.746639163525144,gumbel_soft
48,0.6083665,test,0.6050121,0.7404373347094111,gumbel_soft
49,0.608815,train,0.61349905,0.7376850028584132,gumbel_soft
49,0.608815,val,0.61825794,0.7360409701970269,gumbel_soft
49,0.608815,test,0.6029046,0.7377926852867187,gumbel_soft
50,0.61055326,train,0.6104133,0.7387489677952106,gumbel_soft
50,0.61055326,val,0.640501,0.7307063091258269,gumbel_soft
